symbol,close,date
GS,167.029999,2013-09-16
GS,167.419998,2013-09-17
GS,168.059998,2013-09-18
GS,167.779999,2013-09-19
GS,169.75,2013-09-20
GS,165.25,2013-09-23
GS,162.970001,2013-09-24
GS,162.309998,2013-09-25
GS,162.28999299999998,2013-09-26
GS,159.850006,2013-09-27
GS,158.21000700000002,2013-09-30
GS,159.0,2013-10-01
GS,158.669998,2013-10-02
GS,156.850006,2013-10-03
GS,156.550003,2013-10-04
GS,154.25,2013-10-07
GS,153.050003,2013-10-08
GS,154.440002,2013-10-09
GS,158.009995,2013-10-10
GS,160.0,2013-10-11
GS,159.46000700000002,2013-10-14
GS,157.630005,2013-10-15
GS,162.25,2013-10-16
GS,158.320007,2013-10-17
GS,158.690002,2013-10-18
GS,159.770004,2013-10-21
GS,159.25,2013-10-22
GS,157.740005,2013-10-23
GS,159.96000700000002,2013-10-24
GS,162.08999599999999,2013-10-25
GS,161.449997,2013-10-28
GS,162.110001,2013-10-29
GS,162.050003,2013-10-30
GS,160.860001,2013-10-31
GS,162.050003,2013-11-01
GS,163.16000400000001,2013-11-04
GS,161.949997,2013-11-05
GS,163.520004,2013-11-06
GS,159.639999,2013-11-07
GS,163.169998,2013-11-08
GS,163.83999599999999,2013-11-11
GS,162.889999,2013-11-12
GS,162.940002,2013-11-13
GS,163.199997,2013-11-14
GS,164.399994,2013-11-15
GS,165.679993,2013-11-18
GS,166.600006,2013-11-19
GS,165.0,2013-11-20
GS,167.070007,2013-11-21
GS,168.100006,2013-11-22
GS,169.479996,2013-11-25
GS,168.03999299999998,2013-11-26
GS,168.220001,2013-11-27
GS,168.940002,2013-11-29
GS,169.720001,2013-12-02
GS,168.050003,2013-12-03
GS,168.699997,2013-12-04
GS,165.559998,2013-12-05
GS,167.21000700000002,2013-12-06
GS,167.669998,2013-12-09
GS,169.729996,2013-12-10
GS,167.600006,2013-12-11
GS,168.330002,2013-12-12
GS,168.389999,2013-12-13
GS,170.949997,2013-12-16
GS,170.490005,2013-12-17
GS,174.83999599999999,2013-12-18
GS,174.770004,2013-12-19
GS,175.16000400000001,2013-12-20
GS,176.470001,2013-12-23
GS,176.16000400000001,2013-12-24
GS,176.449997,2013-12-26
GS,176.350006,2013-12-27
GS,175.729996,2013-12-30
GS,177.259995,2013-12-31
GS,176.889999,2014-01-02
GS,178.149994,2014-01-03
GS,179.369995,2014-01-06
GS,178.28999299999998,2014-01-07
GS,178.440002,2014-01-08
GS,177.399994,2014-01-09
GS,178.389999,2014-01-10
GS,175.880005,2014-01-13
GS,176.600006,2014-01-14
GS,178.75,2014-01-15
GS,175.169998,2014-01-16
GS,176.279999,2014-01-17
GS,173.199997,2014-01-21
GS,173.679993,2014-01-22
GS,170.75,2014-01-23
GS,167.639999,2014-01-24
GS,164.690002,2014-01-27
GS,166.25,2014-01-28
GS,163.899994,2014-01-29
GS,165.83999599999999,2014-01-30
GS,164.119995,2014-01-31
GS,159.820007,2014-02-03
GS,161.759995,2014-02-04
GS,160.419998,2014-02-05
GS,161.75,2014-02-06
GS,161.929993,2014-02-07
GS,161.0,2014-02-10
GS,164.389999,2014-02-11
GS,163.5,2014-02-12
GS,164.059998,2014-02-13
GS,163.720001,2014-02-14
GS,164.649994,2014-02-18
GS,163.259995,2014-02-19
